dataset_id,label_id,label_name,label_name_cn,category,description
14,80,Atelectasis,肺不张,Pathology,
14,81,Consolidation,实变,Pathology,
14,82,Infiltration,浸润,Pathology,
14,83,Pneumothorax,气胸,Pathology,
14,84,Edema,水肿,Pathology,
14,85,Emphysema,肺气肿,Pathology,
14,86,Fibrosis,纤维化,Pathology,
14,87,Effusion,积液,Pathology,
14,88,Pneumonia,肺炎,Pathology,
14,89,Pleural Thickening,胸膜增厚,Pathology,
14,90,Cardiomegaly,心脏扩大,Pathology,
14,91,Nodule/Mass,结节肿块,Pathology,
14,92,Hernia,疝气,Pathology,
14,93,No Finding,无发现,Pathology,
15,94,Normal,正常,Pathology,
15,95,Diabetes,糖尿病,Pathology,
15,96,Glaucoma,青光眼,Pathology,
15,97,Cataract,白内障,Pathology,
15,98,Age-related Macular Degeneration,年龄相关性黄斑变性,Pathology,
15,99,Hypertension,高血压,Pathology,
15,100,Pathologic Myopia,病理性近视,Pathology,
15,101,Other Disease/Abnormality,其他疾病/异常,Pathology,
16,102,Glioma,胶质瘤,Pathology,
16,103,Meningioma,脑膜瘤,Pathology,
16,104,Pituitary Tumor,垂体瘤,Pathology,
16,105,No Tumor,无肿瘤,Pathology,
